text,label
"WhatsApp Forward: Government is giving ₹75,000 cash prize. Forward this to 5 people and pay ₹1000 refundable fee at gov-benefit-2026.com.",1
"Under the Government of India, PM Awas Yojana offers support to senior citizens. Required documents include income certificate.",0
"WhatsApp Forward: Government is giving free laptops and ₹50,000. Forward this to 5 people and pay ₹500 at apply-now.xyz.",1
"Dear bank customer, your account linked to PM Awas Yojana needs KYC update. Click free-money.online and verify with OTP.",1
Update your KYC now. Share OTP to avoid account block.,1
Congratulations! You are selected for ₹1 lakh for all citizens. Pay ₹199 processing fee at apply-now.xyz to claim your benefit.,1
"Under the State Welfare Department, Ayushman Bharat offers support to economically weaker sections. Required documents include income certificate.",0
Apply for Mahalakshmi Scheme through the official portal scheme-official.gov.in. Eligible citizens must submit Aadhaar card.,0
Beneficiaries of Ayushman Bharat can check their application status via the official website india.gov.in.,0
"Under the Government of India, PM Awas Yojana offers support to farmers. Required documents include ration card.",0
Your recent transaction for Kalyana Lakshmi failed. Please share OTP to process the refund immediately at whatsapp-rewards.com.,1
Citizens can register for Ayushman Bharat at their nearest help centre or online via pmjay.gov.in.,0
"To avail the benefits of Ayushman Bharat, please submit an application on india.gov.in before the official deadline.",0
"To avail the benefits of PM-KISAN, please submit an application on india.gov.in before the official deadline.",0
"Under the Government of India, Mahalakshmi Scheme offers support to rural women. Required documents include Aadhaar card.",0
Share OTP to process your Kalyana Lakshmi application.,1
Citizens can register for Ayushman Bharat at their nearest help centre or online via india.gov.in.,0
URGENT: PM Awas Yojana applications close today! Click gov-benefit-2026.com and pay ₹500 registration fee. Share with 10 people!,1
Your Rythu Bharosa funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at support-now.com.,1
"Dear bank customer, your account linked to PM Awas Yojana needs KYC update. Click whatsapp-rewards.com and verify with OTP.",1
Government announces Rythu Bharosa for farmers. Ensure ration card is updated when applying at scheme-official.gov.in.,0
Your recent transaction for PM-KISAN failed. Please share OTP to process the refund immediately at apply-now.xyz.,1
URGENT: Ayushman Bharat applications close today! Click free-money.online and pay a small ₹99 processing fee registration fee. Share with 10 people!,1
Share your OTP and get benefitted.,1
Provide bank details and OTP for PM-KISAN verification.,1
Apply for Kalyana Lakshmi through the official portal pmjay.gov.in. Eligible citizens must submit domicile certificate.,0
"₹75,000 cash prize credited to your account! Pay a small ₹99 processing fee transaction charge at gov-benefit-2026.com to release the funds.",1
URGENT: Rythu Bharosa applications close today! Click gov-benefit-2026.com and pay ₹199 registration fee. Share with 10 people!,1
"₹75,000 cash prize credited to your account! Pay a small ₹99 processing fee transaction charge at whatsapp-rewards.com to release the funds.",1
Details regarding the eligibility criteria for PM-KISAN have been published on pmkisan.gov.in.,0
Citizens can register for PM-KISAN at their nearest help centre or online via pmkisan.gov.in.,0
Congratulations! You are selected for ₹2 lakh loan without documents. Pay a small ₹99 processing fee processing fee at gov-benefit-2026.com to claim your benefit.,1
Provide bank details and OTP for PM-KISAN verification.,1
WhatsApp Forward: Government is giving guaranteed government job. Forward this to 5 people and pay ₹1000 refundable fee at whatsapp-rewards.com.,1
Apply for Rythu Bharosa through the official portal telangana.gov.in. Eligible citizens must submit birth certificate.,0
Government announces Kalyana Lakshmi for farmers. Ensure ration card is updated when applying at india.gov.in.,0
"Congratulations! You are selected for ₹75,000 cash prize. Pay ₹500 processing fee at whatsapp-rewards.com to claim your benefit.",1
Government announces Kalyana Lakshmi for farmers. Ensure domicile certificate is updated when applying at india.gov.in.,0
Update your KYC now. Share OTP to avoid account block.,1
The Rythu Bharosa provides financial assistance to eligible families. Visit india.gov.in for guidelines.,0
Provide bank details and OTP for Kalyana Lakshmi verification.,1
Beneficiaries of Kalyana Lakshmi can check their application status via the official website india.gov.in.,0
Beneficiaries of PM-KISAN can check their application status via the official website pmjay.gov.in.,0
Your recent transaction for Ayushman Bharat failed. Please share OTP to process the refund immediately at gov-schemes-portal.info.,1
URGENT: Kalyana Lakshmi applications close today! Click support-now.com and pay ₹1000 refundable fee registration fee. Share with 10 people!,1
Government announces PM-KISAN for rural women. Ensure birth certificate is updated when applying at pmkisan.gov.in.,0
Beneficiaries of Ayushman Bharat can check their application status via the official website india.gov.in.,0
"Dear bank customer, your account linked to PM-KISAN needs KYC update. Click support-now.com and verify with OTP.",1
The Mahalakshmi Scheme provides financial assistance to eligible families. Visit telangana.gov.in for guidelines.,0
Details regarding the eligibility criteria for Mahalakshmi Scheme have been published on telangana.gov.in.,0
Government giving ₹1 lakh for all citizens to everyone. Register now at gov-benefit-2026.com and pay a small ₹99 processing fee to activate.,1
"Dear bank customer, your account linked to PM Awas Yojana needs KYC update. Click support-now.com and verify with OTP.",1
Share your OTP and get benefitted.,1
Congratulations! You are selected for ₹1 lakh for all citizens. Pay ₹500 processing fee at support-now.com to claim your benefit.,1
"To avail the benefits of Ayushman Bharat, please submit an application on scheme-official.gov.in before the official deadline.",0
Government announces Rythu Bharosa for students below poverty line. Ensure birth certificate is updated when applying at pmjay.gov.in.,0
"Under the Ministry of Finance, PM Awas Yojana offers support to senior citizens. Required documents include Aadhaar card.",0
Details regarding the eligibility criteria for Rythu Bharosa have been published on india.gov.in.,0
Update your KYC now. Share OTP to avoid account block.,1
Apply for Mahalakshmi Scheme through the official portal pmjay.gov.in. Eligible citizens must submit domicile certificate.,0
Citizens can register for Rythu Bharosa at their nearest help centre or online via scheme-official.gov.in.,0
Your recent transaction for PM-KISAN failed. Please share OTP to process the refund immediately at free-money.online.,1
"Under the State Welfare Department, Ayushman Bharat offers support to students below poverty line. Required documents include Aadhaar card.",0
URGENT: PM Awas Yojana applications close today! Click apply-now.xyz and pay ₹1000 refundable fee registration fee. Share with 10 people!,1
Congratulations! You are selected for guaranteed government job. Pay ₹500 processing fee at gov-benefit-2026.com to claim your benefit.,1
"Dear bank customer, your account linked to PM-KISAN needs KYC update. Click gov-benefit-2026.com and verify with OTP.",1
"Congratulations! You are selected for free laptops and ₹50,000. Pay ₹1000 refundable fee processing fee at apply-now.xyz to claim your benefit.",1
"To avail the benefits of PM Awas Yojana, please submit an application on india.gov.in before the official deadline.",0
Details regarding the eligibility criteria for Rythu Bharosa have been published on pmjay.gov.in.,0
Government announces Mahalakshmi Scheme for senior citizens. Ensure Aadhaar card is updated when applying at scheme-official.gov.in.,0
Details regarding the eligibility criteria for Kalyana Lakshmi have been published on pmkisan.gov.in.,0
Details regarding the eligibility criteria for Kalyana Lakshmi have been published on india.gov.in.,0
The PM Awas Yojana provides financial assistance to eligible families. Visit scheme-official.gov.in for guidelines.,0
Details regarding the eligibility criteria for Rythu Bharosa have been published on telangana.gov.in.,0
Citizens can register for PM Awas Yojana at their nearest help centre or online via scheme-official.gov.in.,0
Beneficiaries of PM-KISAN can check their application status via the official website scheme-official.gov.in.,0
Apply for PM-KISAN through the official portal pmkisan.gov.in. Eligible citizens must submit ration card.,0
"Congratulations! You are selected for free laptops and ₹50,000. Pay ₹299 processing fee at free-money.online to claim your benefit.",1
Your PM Awas Yojana funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at gov-benefit-2026.com.,1
"To avail the benefits of Mahalakshmi Scheme, please submit an application on pmkisan.gov.in before the official deadline.",0
Apply for Mahalakshmi Scheme through the official portal india.gov.in. Eligible citizens must submit ration card.,0
The PM Awas Yojana provides financial assistance to eligible families. Visit india.gov.in for guidelines.,0
"To avail the benefits of Ayushman Bharat, please submit an application on pmkisan.gov.in before the official deadline.",0
Apply for Kalyana Lakshmi through the official portal scheme-official.gov.in. Eligible citizens must submit ration card.,0
Update your KYC now. Share OTP to avoid account block.,1
"WhatsApp Forward: Government is giving free laptops and ₹50,000. Forward this to 5 people and pay ₹500 at whatsapp-rewards.com.",1
"Under the Government of India, Ayushman Bharat offers support to economically weaker sections. Required documents include income certificate.",0
"Under the Ministry of Finance, PM-KISAN offers support to senior citizens. Required documents include income certificate.",0
Beneficiaries of Kalyana Lakshmi can check their application status via the official website pmjay.gov.in.,0
Citizens can register for Kalyana Lakshmi at their nearest help centre or online via india.gov.in.,0
Apply for Rythu Bharosa through the official portal pmkisan.gov.in. Eligible citizens must submit domicile certificate.,0
Details regarding the eligibility criteria for Ayushman Bharat have been published on india.gov.in.,0
"To avail the benefits of PM-KISAN, please submit an application on pmkisan.gov.in before the official deadline.",0
"Under the Department of Agriculture, PM Awas Yojana offers support to senior citizens. Required documents include birth certificate.",0
Share your OTP and get benefitted.,1
The Ayushman Bharat provides financial assistance to eligible families. Visit scheme-official.gov.in for guidelines.,0
"To avail the benefits of Ayushman Bharat, please submit an application on pmkisan.gov.in before the official deadline.",0
"Under the Ministry of Finance, PM Awas Yojana offers support to economically weaker sections. Required documents include birth certificate.",0
"free laptops and ₹50,000 credited to your account! Pay ₹299 transaction charge at whatsapp-rewards.com to release the funds.",1
Citizens can register for PM-KISAN at their nearest help centre or online via india.gov.in.,0
Beneficiaries of Ayushman Bharat can check their application status via the official website scheme-official.gov.in.,0
"Government giving free laptops and ₹50,000 to everyone. Register now at support-now.com and pay ₹1000 refundable fee to activate.",1
Your Kalyana Lakshmi funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at free-money.online.,1
URGENT: Kalyana Lakshmi applications close today! Click gov-schemes-portal.info and pay ₹299 registration fee. Share with 10 people!,1
Your recent transaction for Ayushman Bharat failed. Please share OTP to process the refund immediately at free-money.online.,1
Details regarding the eligibility criteria for PM-KISAN have been published on telangana.gov.in.,0
Update your KYC now. Share OTP to avoid account block.,1
Beneficiaries of Kalyana Lakshmi can check their application status via the official website telangana.gov.in.,0
Provide bank details and OTP for PM Awas Yojana verification.,1
WhatsApp Forward: Government is giving guaranteed government job. Forward this to 5 people and pay ₹199 at gov-schemes-portal.info.,1
Apply for Ayushman Bharat through the official portal india.gov.in. Eligible citizens must submit domicile certificate.,0
Your Ayushman Bharat funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at support-now.com.,1
Details regarding the eligibility criteria for Mahalakshmi Scheme have been published on scheme-official.gov.in.,0
"WhatsApp Forward: Government is giving ₹75,000 cash prize. Forward this to 5 people and pay ₹500 at gov-benefit-2026.com.",1
Limited time offer! Apply fast on free-money.online to get ₹2 lakh loan without documents. Share this message with 15 WhatsApp groups.,1
Provide bank details and OTP for Kalyana Lakshmi verification.,1
Government announces PM Awas Yojana for farmers. Ensure income certificate is updated when applying at india.gov.in.,0
Beneficiaries of Ayushman Bharat can check their application status via the official website india.gov.in.,0
Apply for Kalyana Lakshmi through the official portal pmkisan.gov.in. Eligible citizens must submit birth certificate.,0
Government announces PM-KISAN for farmers. Ensure domicile certificate is updated when applying at pmkisan.gov.in.,0
The PM-KISAN provides financial assistance to eligible families. Visit india.gov.in for guidelines.,0
Beneficiaries of PM Awas Yojana can check their application status via the official website india.gov.in.,0
"Under the Department of Agriculture, Mahalakshmi Scheme offers support to economically weaker sections. Required documents include birth certificate.",0
"To avail the benefits of Ayushman Bharat, please submit an application on india.gov.in before the official deadline.",0
Share your OTP and get benefitted.,1
Your recent transaction for Kalyana Lakshmi failed. Please share OTP to process the refund immediately at free-money.online.,1
Beneficiaries of Mahalakshmi Scheme can check their application status via the official website pmjay.gov.in.,0
"Dear bank customer, your account linked to Ayushman Bharat needs KYC update. Click whatsapp-rewards.com and verify with OTP.",1
Update your KYC now. Share OTP to avoid account block.,1
Details regarding the eligibility criteria for Ayushman Bharat have been published on pmjay.gov.in.,0
The PM-KISAN provides financial assistance to eligible families. Visit india.gov.in for guidelines.,0
WhatsApp Forward: Government is giving ₹2 lakh loan without documents. Forward this to 5 people and pay ₹199 at apply-now.xyz.,1
"To avail the benefits of PM Awas Yojana, please submit an application on pmjay.gov.in before the official deadline.",0
The Mahalakshmi Scheme provides financial assistance to eligible families. Visit scheme-official.gov.in for guidelines.,0
"To avail the benefits of PM Awas Yojana, please submit an application on telangana.gov.in before the official deadline.",0
Update your KYC now. Share OTP to avoid account block.,1
Limited time offer! Apply fast on support-now.com to get ₹2 lakh loan without documents. Share this message with 15 WhatsApp groups.,1
The PM-KISAN provides financial assistance to eligible families. Visit pmjay.gov.in for guidelines.,0
Limited time offer! Apply fast on apply-now.xyz to get ₹1 lakh for all citizens. Share this message with 15 WhatsApp groups.,1
"Under the State Welfare Department, PM Awas Yojana offers support to rural women. Required documents include Aadhaar card.",0
URGENT: PM Awas Yojana applications close today! Click apply-now.xyz and pay ₹299 registration fee. Share with 10 people!,1
URGENT: Kalyana Lakshmi applications close today! Click gov-schemes-portal.info and pay ₹500 registration fee. Share with 10 people!,1
Update your KYC now. Share OTP to avoid account block.,1
"Dear bank customer, your account linked to Ayushman Bharat needs KYC update. Click gov-schemes-portal.info and verify with OTP.",1
Apply for PM Awas Yojana through the official portal pmjay.gov.in. Eligible citizens must submit Aadhaar card.,0
Limited time offer! Apply fast on free-money.online to get ₹1 lakh for all citizens. Share this message with 15 WhatsApp groups.,1
The PM-KISAN provides financial assistance to eligible families. Visit scheme-official.gov.in for guidelines.,0
Details regarding the eligibility criteria for PM Awas Yojana have been published on pmkisan.gov.in.,0
Beneficiaries of Kalyana Lakshmi can check their application status via the official website scheme-official.gov.in.,0
Share OTP to process your Mahalakshmi Scheme application.,1
"Government giving ₹75,000 cash prize to everyone. Register now at support-now.com and pay ₹1000 refundable fee to activate.",1
"Congratulations! You are selected for free laptops and ₹50,000. Pay ₹199 processing fee at gov-schemes-portal.info to claim your benefit.",1
Share your OTP and get benefitted.,1
Your PM Awas Yojana funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at free-money.online.,1
Update your KYC now. Share OTP to avoid account block.,1
Details regarding the eligibility criteria for PM-KISAN have been published on scheme-official.gov.in.,0
Your Ayushman Bharat funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at gov-benefit-2026.com.,1
Share OTP to process your Mahalakshmi Scheme application.,1
Citizens can register for Mahalakshmi Scheme at their nearest help centre or online via india.gov.in.,0
Your recent transaction for Ayushman Bharat failed. Please share OTP to process the refund immediately at free-money.online.,1
Apply for Kalyana Lakshmi through the official portal india.gov.in. Eligible citizens must submit birth certificate.,0
Details regarding the eligibility criteria for PM Awas Yojana have been published on pmjay.gov.in.,0
Beneficiaries of PM-KISAN can check their application status via the official website scheme-official.gov.in.,0
"To avail the benefits of Mahalakshmi Scheme, please submit an application on telangana.gov.in before the official deadline.",0
Government announces Rythu Bharosa for farmers. Ensure Aadhaar card is updated when applying at pmkisan.gov.in.,0
"WhatsApp Forward: Government is giving free laptops and ₹50,000. Forward this to 5 people and pay a small ₹99 processing fee at free-money.online.",1
"To avail the benefits of PM Awas Yojana, please submit an application on telangana.gov.in before the official deadline.",0
The Rythu Bharosa provides financial assistance to eligible families. Visit india.gov.in for guidelines.,0
Limited time offer! Apply fast on free-money.online to get ₹1 lakh for all citizens. Share this message with 15 WhatsApp groups.,1
Apply for Mahalakshmi Scheme through the official portal pmjay.gov.in. Eligible citizens must submit ration card.,0
Your Rythu Bharosa funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at whatsapp-rewards.com.,1
"To avail the benefits of PM Awas Yojana, please submit an application on pmjay.gov.in before the official deadline.",0
"Under the Government of India, Rythu Bharosa offers support to rural women. Required documents include income certificate.",0
"Under the Department of Agriculture, Mahalakshmi Scheme offers support to rural women. Required documents include income certificate.",0
Limited time offer! Apply fast on gov-benefit-2026.com to get ₹2 lakh loan without documents. Share this message with 15 WhatsApp groups.,1
Provide bank details and OTP for Kalyana Lakshmi verification.,1
"Dear bank customer, your account linked to PM-KISAN needs KYC update. Click support-now.com and verify with OTP.",1
Your recent transaction for Ayushman Bharat failed. Please share OTP to process the refund immediately at support-now.com.,1
Share OTP to process your Rythu Bharosa application.,1
Your recent transaction for PM Awas Yojana failed. Please share OTP to process the refund immediately at whatsapp-rewards.com.,1
The Kalyana Lakshmi provides financial assistance to eligible families. Visit telangana.gov.in for guidelines.,0
"₹75,000 cash prize credited to your account! Pay ₹299 transaction charge at free-money.online to release the funds.",1
Citizens can register for Ayushman Bharat at their nearest help centre or online via pmjay.gov.in.,0
Your recent transaction for Mahalakshmi Scheme failed. Please share OTP to process the refund immediately at apply-now.xyz.,1
Beneficiaries of Kalyana Lakshmi can check their application status via the official website pmkisan.gov.in.,0
Details regarding the eligibility criteria for Kalyana Lakshmi have been published on telangana.gov.in.,0
Government giving ₹2 lakh loan without documents to everyone. Register now at apply-now.xyz and pay ₹299 to activate.,1
Provide bank details and OTP for Rythu Bharosa verification.,1
Government giving ₹1 lakh for all citizens to everyone. Register now at gov-benefit-2026.com and pay ₹1000 refundable fee to activate.,1
Details regarding the eligibility criteria for Ayushman Bharat have been published on pmkisan.gov.in.,0
"Under the Government of India, Kalyana Lakshmi offers support to economically weaker sections. Required documents include birth certificate.",0
Your PM Awas Yojana funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at gov-schemes-portal.info.,1
The Rythu Bharosa provides financial assistance to eligible families. Visit telangana.gov.in for guidelines.,0
Citizens can register for Ayushman Bharat at their nearest help centre or online via pmkisan.gov.in.,0
"₹75,000 cash prize credited to your account! Pay ₹299 transaction charge at gov-schemes-portal.info to release the funds.",1
Details regarding the eligibility criteria for Rythu Bharosa have been published on pmjay.gov.in.,0
"Under the Ministry of Finance, Kalyana Lakshmi offers support to senior citizens. Required documents include Aadhaar card.",0
"Government giving free laptops and ₹50,000 to everyone. Register now at apply-now.xyz and pay ₹500 to activate.",1
Your recent transaction for PM Awas Yojana failed. Please share OTP to process the refund immediately at whatsapp-rewards.com.,1
Citizens can register for Kalyana Lakshmi at their nearest help centre or online via pmkisan.gov.in.,0
Beneficiaries of PM Awas Yojana can check their application status via the official website pmjay.gov.in.,0
The PM-KISAN provides financial assistance to eligible families. Visit pmkisan.gov.in for guidelines.,0
Share your OTP and get benefitted.,1
"To avail the benefits of PM-KISAN, please submit an application on pmkisan.gov.in before the official deadline.",0
Limited time offer! Apply fast on apply-now.xyz to get ₹2 lakh loan without documents. Share this message with 15 WhatsApp groups.,1
"To avail the benefits of Ayushman Bharat, please submit an application on scheme-official.gov.in before the official deadline.",0
Beneficiaries of Mahalakshmi Scheme can check their application status via the official website pmkisan.gov.in.,0
Apply for Kalyana Lakshmi through the official portal pmjay.gov.in. Eligible citizens must submit ration card.,0
"Under the Government of India, Rythu Bharosa offers support to rural women. Required documents include ration card.",0
Share OTP to process your PM-KISAN application.,1
"₹75,000 cash prize credited to your account! Pay ₹500 transaction charge at support-now.com to release the funds.",1
"Congratulations! You are selected for ₹75,000 cash prize. Pay a small ₹99 processing fee processing fee at apply-now.xyz to claim your benefit.",1
Details regarding the eligibility criteria for Ayushman Bharat have been published on pmkisan.gov.in.,0
Congratulations! You are selected for guaranteed government job. Pay ₹299 processing fee at gov-schemes-portal.info to claim your benefit.,1
Details regarding the eligibility criteria for Rythu Bharosa have been published on pmjay.gov.in.,0
Provide bank details and OTP for PM Awas Yojana verification.,1
Apply for PM-KISAN through the official portal india.gov.in. Eligible citizens must submit birth certificate.,0
Share OTP to process your Ayushman Bharat application.,1
"Under the Ministry of Finance, Kalyana Lakshmi offers support to rural women. Required documents include birth certificate.",0
"WhatsApp Forward: Government is giving ₹75,000 cash prize. Forward this to 5 people and pay ₹299 at gov-benefit-2026.com.",1
"Under the Ministry of Finance, Rythu Bharosa offers support to students below poverty line. Required documents include domicile certificate.",0
Government announces Rythu Bharosa for senior citizens. Ensure birth certificate is updated when applying at telangana.gov.in.,0
Government announces Rythu Bharosa for rural women. Ensure Aadhaar card is updated when applying at pmjay.gov.in.,0
Citizens can register for Ayushman Bharat at their nearest help centre or online via telangana.gov.in.,0
WhatsApp Forward: Government is giving ₹2 lakh loan without documents. Forward this to 5 people and pay ₹500 at free-money.online.,1
Government announces PM-KISAN for rural women. Ensure birth certificate is updated when applying at pmkisan.gov.in.,0
Details regarding the eligibility criteria for Mahalakshmi Scheme have been published on scheme-official.gov.in.,0
"Under the State Welfare Department, Kalyana Lakshmi offers support to students below poverty line. Required documents include income certificate.",0
URGENT: PM Awas Yojana applications close today! Click support-now.com and pay ₹500 registration fee. Share with 10 people!,1
Share your OTP and get benefitted.,1
Government announces Rythu Bharosa for economically weaker sections. Ensure Aadhaar card is updated when applying at telangana.gov.in.,0
Limited time offer! Apply fast on apply-now.xyz to get ₹2 lakh loan without documents. Share this message with 15 WhatsApp groups.,1
Details regarding the eligibility criteria for Ayushman Bharat have been published on scheme-official.gov.in.,0
Beneficiaries of Ayushman Bharat can check their application status via the official website india.gov.in.,0
Your recent transaction for Ayushman Bharat failed. Please share OTP to process the refund immediately at free-money.online.,1
Beneficiaries of PM-KISAN can check their application status via the official website india.gov.in.,0
Beneficiaries of PM-KISAN can check their application status via the official website india.gov.in.,0
Your recent transaction for Kalyana Lakshmi failed. Please share OTP to process the refund immediately at gov-benefit-2026.com.,1
Details regarding the eligibility criteria for Ayushman Bharat have been published on india.gov.in.,0
Congratulations! You are selected for guaranteed government job. Pay ₹500 processing fee at free-money.online to claim your benefit.,1
"Government giving ₹75,000 cash prize to everyone. Register now at apply-now.xyz and pay a small ₹99 processing fee to activate.",1
Share OTP to process your Kalyana Lakshmi application.,1
"Congratulations! You are selected for free laptops and ₹50,000. Pay ₹1000 refundable fee processing fee at apply-now.xyz to claim your benefit.",1
"Dear bank customer, your account linked to PM Awas Yojana needs KYC update. Click free-money.online and verify with OTP.",1
Your recent transaction for Kalyana Lakshmi failed. Please share OTP to process the refund immediately at free-money.online.,1
Apply for PM Awas Yojana through the official portal scheme-official.gov.in. Eligible citizens must submit domicile certificate.,0
Details regarding the eligibility criteria for Rythu Bharosa have been published on scheme-official.gov.in.,0
"To avail the benefits of Kalyana Lakshmi, please submit an application on pmjay.gov.in before the official deadline.",0
"Government giving free laptops and ₹50,000 to everyone. Register now at gov-schemes-portal.info and pay a small ₹99 processing fee to activate.",1
Government announces Kalyana Lakshmi for rural women. Ensure ration card is updated when applying at telangana.gov.in.,0
"Limited time offer! Apply fast on support-now.com to get free laptops and ₹50,000. Share this message with 15 WhatsApp groups.",1
The Rythu Bharosa provides financial assistance to eligible families. Visit scheme-official.gov.in for guidelines.,0
Government giving guaranteed government job to everyone. Register now at whatsapp-rewards.com and pay ₹500 to activate.,1
Share your OTP and get benefitted.,1
Share your OTP and get benefitted.,1
WhatsApp Forward: Government is giving guaranteed government job. Forward this to 5 people and pay ₹199 at support-now.com.,1
"To avail the benefits of PM Awas Yojana, please submit an application on scheme-official.gov.in before the official deadline.",0
Your PM Awas Yojana funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at apply-now.xyz.,1
Provide bank details and OTP for PM-KISAN verification.,1
WhatsApp Forward: Government is giving guaranteed government job. Forward this to 5 people and pay ₹199 at gov-schemes-portal.info.,1
Government announces Mahalakshmi Scheme for rural women. Ensure birth certificate is updated when applying at pmjay.gov.in.,0
"To avail the benefits of PM-KISAN, please submit an application on scheme-official.gov.in before the official deadline.",0
Update your KYC now. Share OTP to avoid account block.,1
"Under the State Welfare Department, Rythu Bharosa offers support to senior citizens. Required documents include domicile certificate.",0
The Rythu Bharosa provides financial assistance to eligible families. Visit pmkisan.gov.in for guidelines.,0
URGENT: Mahalakshmi Scheme applications close today! Click gov-benefit-2026.com and pay ₹299 registration fee. Share with 10 people!,1
"Limited time offer! Apply fast on gov-schemes-portal.info to get free laptops and ₹50,000. Share this message with 15 WhatsApp groups.",1
URGENT: Rythu Bharosa applications close today! Click gov-schemes-portal.info and pay ₹1000 refundable fee registration fee. Share with 10 people!,1
"To avail the benefits of Rythu Bharosa, please submit an application on scheme-official.gov.in before the official deadline.",0
Congratulations! You are selected for ₹1 lakh for all citizens. Pay ₹500 processing fee at whatsapp-rewards.com to claim your benefit.,1
Provide bank details and OTP for Ayushman Bharat verification.,1
Your recent transaction for Kalyana Lakshmi failed. Please share OTP to process the refund immediately at support-now.com.,1
Share OTP to process your Ayushman Bharat application.,1
Government announces Mahalakshmi Scheme for students below poverty line. Ensure income certificate is updated when applying at pmjay.gov.in.,0
Limited time offer! Apply fast on gov-benefit-2026.com to get guaranteed government job. Share this message with 15 WhatsApp groups.,1
Beneficiaries of Kalyana Lakshmi can check their application status via the official website scheme-official.gov.in.,0
Your recent transaction for Rythu Bharosa failed. Please share OTP to process the refund immediately at apply-now.xyz.,1
"To avail the benefits of Rythu Bharosa, please submit an application on telangana.gov.in before the official deadline.",0
Beneficiaries of PM Awas Yojana can check their application status via the official website scheme-official.gov.in.,0
"Dear bank customer, your account linked to PM Awas Yojana needs KYC update. Click free-money.online and verify with OTP.",1
Share your OTP and get benefitted.,1
Share your OTP and get benefitted.,1
Share your OTP and get benefitted.,1
Provide bank details and OTP for Ayushman Bharat verification.,1
WhatsApp Forward: Government is giving ₹2 lakh loan without documents. Forward this to 5 people and pay a small ₹99 processing fee at apply-now.xyz.,1
"Under the Government of India, Rythu Bharosa offers support to students below poverty line. Required documents include birth certificate.",0
Government announces PM-KISAN for rural women. Ensure income certificate is updated when applying at pmjay.gov.in.,0
Details regarding the eligibility criteria for Ayushman Bharat have been published on scheme-official.gov.in.,0
URGENT: PM-KISAN applications close today! Click whatsapp-rewards.com and pay ₹199 registration fee. Share with 10 people!,1
"Under the State Welfare Department, Mahalakshmi Scheme offers support to senior citizens. Required documents include birth certificate.",0
Your Ayushman Bharat funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at free-money.online.,1
"Congratulations! You are selected for free laptops and ₹50,000. Pay ₹1000 refundable fee processing fee at support-now.com to claim your benefit.",1
Your Kalyana Lakshmi funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at gov-schemes-portal.info.,1
"Under the Ministry of Finance, PM-KISAN offers support to rural women. Required documents include Aadhaar card.",0
Share OTP to process your PM Awas Yojana application.,1
Details regarding the eligibility criteria for Mahalakshmi Scheme have been published on pmjay.gov.in.,0
Update your KYC now. Share OTP to avoid account block.,1
Beneficiaries of Rythu Bharosa can check their application status via the official website pmjay.gov.in.,0
